0	1
0	2
0	3
0	4
0	5
0	7
0	11
0	12
0	18
0	19
0	22
0	24
0	29
0	33
0	42
0	47
0	53
0	56
0	59
0	61
0	65
0	68
0	77
0	81
0	83
0	89
0	90
0	111
0	113
0	124
0	126
0	129
0	134
0	140
0	145
0	146
0	152
0	153
0	161
0	168
0	190
0	202
0	217
0	237
0	254
1	4
1	20
1	23
1	35
1	36
1	50
1	67
1	78
1	92
1	130
1	148
1	158
1	183
1	186
1	189
1	194
1	204
2	3
2	6
2	14
2	16
2	38
2	86
2	95
2	159
2	164
2	209
2	218
2	227
2	250
3	5
3	6
3	9
3	11
3	12
3	13
3	15
3	16
3	30
3	32
3	37
3	43
3	45
3	62
3	64
3	91
3	118
3	126
3	144
3	164
3	165
3	175
3	181
3	199
3	210
3	224
3	232
4	7
4	14
4	23
4	24
4	76
4	112
4	144
4	185
4	208
4	227
5	8
5	9
5	13
5	27
5	29
5	39
5	42
5	43
5	48
5	57
5	103
5	104
5	110
5	125
5	139
5	142
5	155
5	162
5	187
5	188
5	195
5	224
5	226
5	235
6	8
6	17
6	62
6	78
6	81
6	101
6	132
6	134
6	245
7	25
7	27
7	51
7	70
7	111
7	156
8	10
8	21
8	36
8	38
8	63
8	121
8	160
8	233
9	10
9	34
9	65
9	117
9	119
10	31
10	39
10	49
10	57
10	116
10	174
10	205
10	229
10	240
11	15
11	161
12	33
12	46
12	50
12	54
12	117
12	128
14	17
14	20
14	26
14	40
14	55
14	70
14	79
14	96
14	103
14	123
14	129
14	139
14	145
14	149
14	153
14	192
14	198
14	200
14	222
14	245
15	31
15	61
15	109
15	209
15	226
16	18
16	19
16	22
16	54
16	108
16	150
16	173
17	25
17	56
17	122
17	163
18	21
18	41
18	68
18	137
19	26
19	45
19	74
19	174
19	212
20	75
20	89
20	130
21	28
21	52
21	100
21	128
21	133
21	179
21	191
21	203
23	30
23	168
23	177
23	196
24	34
24	37
24	218
24	220
25	35
25	40
26	28
26	32
26	58
26	73
26	142
26	212
27	152
29	63
29	66
29	74
29	82
29	107
29	124
30	51
30	240
31	53
31	60
31	69
31	230
32	87
32	90
32	94
32	186
33	77
33	88
34	59
36	41
36	44
36	71
36	76
36	79
36	166
36	169
36	193
37	72
37	215
38	46
38	96
38	154
38	235
39	64
39	159
40	55
40	104
40	183
40	213
40	219
40	230
40	237
41	44
41	187
42	52
42	162
42	210
42	221
44	94
44	99
44	189
45	47
45	98
45	171
45	208
46	48
46	66
46	84
46	116
47	49
47	119
47	243
47	246
48	67
48	99
48	101
48	184
50	84
50	113
51	60
51	69
51	98
51	105
51	114
51	160
51	185
51	216
51	239
51	255
52	58
52	92
52	120
52	148
53	172
54	71
54	106
54	127
54	156
54	158
54	190
54	233
56	82
56	83
56	151
56	188
56	255
57	200
57	243
58	73
58	75
58	85
58	87
58	112
58	141
58	149
59	102
59	121
59	196
59	244
59	250
60	135
60	140
60	175
62	157
62	173
63	191
64	203
65	170
66	95
66	143
66	249
67	214
68	72
68	80
68	108
68	135
68	182
68	252
69	110
69	122
69	147
69	197
69	211
69	238
70	88
70	220
71	86
72	93
73	85
73	91
73	133
73	176
73	236
76	195
77	80
77	216
80	93
80	105
80	107
80	166
81	138
82	97
84	109
84	114
84	151
84	228
85	106
85	141
85	221
86	100
87	125
87	132
87	147
89	97
90	136
90	244
93	181
93	192
93	207
93	214
94	154
94	194
94	197
95	131
96	102
96	136
96	167
97	115
97	170
97	171
99	118
99	137
99	150
99	251
100	232
101	184
103	127
103	176
103	182
105	123
105	206
106	138
108	120
108	256
109	143
110	254
111	115
113	204
113	213
113	251
115	207
116	217
116	241
117	193
118	155
118	238
120	236
124	157
125	223
126	163
126	225
126	231
128	131
131	146
131	165
136	201
136	206
139	178
140	222
140	234
141	241
142	248
144	205
146	211
147	248
148	247
152	169
153	178
156	215
158	167
158	179
158	199
161	177
162	242
170	172
170	180
174	219
179	180
181	225
181	249
184	239
185	228
185	234
189	231
195	256
196	198
196	246
200	201
200	202
204	223
207	253
208	242
208	252
216	229
217	253
235	247
